"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-11","75","95","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-12","78","97","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-13","77","95","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-14","77","96","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-15","78","96","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-16","79","100","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-17","77","94","60"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-18","73","89","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-19","71","85","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-20","72","89","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-21",,"90","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-22","73","89","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-23","69","82","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-24","73","92","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-25","76","96","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-26","75","92","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-27","75","93","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-28","74","89","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-29","62","66","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-30","64","68","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-08-31","68","77","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-01","62","66","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-02","66","74","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-03","65","76","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-04","64","77","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-05","67","81","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-06","73","88","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-07","72","93","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-08","73","91","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-09","72","88","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-10","72","88","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-11","74","93","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-12","74","93","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-13","83","95","70"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-14","73","84","62"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-15","71","85","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-16","72","87","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-17","76","95","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-18","80","101","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-19","80","101","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-20","81","99","63"
